'N'	'SNR'	'sp\_noise'	'Kernel Chosen'	'Test Accuracy'	'Kernel rate'	'Bayes optimal rate'
'500& '	'100& '	'20\% & '	'$\SE_{1} + \SE_{3} \times \SE_{7} + \SE_{10}$ &'	'77.2\% & '	'77.4\% & '	'79.8\%  \\ \hline '
'300& '	'100& '	'20\% & '	'$\SE_{1} + \SE_{10}$ &'	'58.33\% & '	'72.67\% & '	'79.8\%  \\  '
'100& '	'100& '	'20\% & '	'$\SE_{1}$ &'	'50\% & '	'64\% & '	'79.8\%  \\  '
'500& '	'1& '	'0\% & '	'$\SE_{6}$ &'	'48.2\% & '	'72.4\% & '	'74.4\%  \\ \hline '
'300& '	'1& '	'0\% & '	'$\SE_{1} \times \SE_{3} \times \SE_{7} \times \SE_{10} + \SE_{10}$ &'	'71.33\% & '	'72.67\% & '	'74.4\%  \\  '
'100& '	'1& '	'0\% & '	'$\SE_{10}$ &'	'58\% & '	'73\% & '	'74.4\%  \\  '
'500& '	'1& '	'5\% & '	'$\SE_{10}$ &'	'57.2\% & '	'70.4\% & '	'71.4\%  \\ \hline '
'300& '	'1& '	'5\% & '	'$\SE_{1} \times \SE_{10}$ &'	'58.67\% & '	'69\% & '	'71.4\%  \\  '
'100& '	'1& '	'5\% & '	'$\SE_{10}$ &'	'55\% & '	'67\% & '	'71.4\%  \\  '
'500& '	'1& '	'20\% & '	'$\SE_{10}$ &'	'58.8\% & '	'62.8\% & '	'65.4\%  \\ \hline '
'300& '	'1& '	'20\% & '	'$\SE_{10}$ &'	'58\% & '	'62.67\% & '	'65.4\%  \\  '
'100& '	'1& '	'20\% & '	'$\SE_{10}$ &'	'62\% & '	'57\% & '	'65.4\%  \\  '
'500& '	'100& '	'0\% & '	'$\SE_{3} \times \SE_{5} \times \SE_{7} + \SE_{5}$ &'	'92.2\% & '	'92.2\% & '	'97\%  \\ \hline '
'300& '	'100& '	'0\% & '	'$\SE_{3} \times \SE_{5} \times \SE_{7} + \SE_{9}$ &'	'93.33\% & '	'93\% & '	'97\%  \\  '
'100& '	'100& '	'0\% & '	'$\SE_{3} \times \SE_{5} \times \SE_{7}$ &'	'85\% & '	'86\% & '	'97\%  \\  '
